"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Sandhan","Bengali","","","Mitali Films Pvt. Ltd, 47 Lenin Sarani, Calcutta-13","94645","","U","","","","","[5] Delete the dialogue comparing Gandhiji's Satyagraha movement with ghcrao. (0.35 m)","","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Sivabhakta Vijayam","Telugu","Colour","","Annapurna Arts, Nellore","83000","","U","","","","","[14] Delete the close shot of the blood stained fingers of Vijay retreating from the back and blood dripping. (2.47 m)","[3] Reduce the prolonged visuals of Preetha lying unconscious on the floor as the man looks at her with lust. Reduce the attempted molestation of Preetha to a suggestion, retaining only the initial struggled between Preetha and the man, thereafter her getting pierced with the sharp edged of the lam. (Kuthulivakku). Similarly reduce to a suggestion the visual narration of the molestation substituting Vijay on the place of his brother-in-law. (14.53 m)","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Penn Manam Pesugirathu","Tamil","Colour","","Kanniammal Pictures, Madras","4151","","A","","","","","[4] In the rape scene of village girl by minor, delete all visuals of the rape and struggle after minor’s motor cycle runs over the sari of the village girl. Delete shot of village girl’s face in close up who hanged herself. (7.04 m) || [5] Delete dialogue of Paru’s mother saying ‘Avan seyyama vere yarudi seyyarathu’ (0.49 m) || [9] Delete dialogues of child to Muthanyna ‘Ava rendu perum appa amma vilayattu bhana vilayadara’ and ‘Ava arayile anna seiva’ (3.45 m) || [10] Delete shots in the song sequence of Panchavarnam and Kittu in bedroom (shots of Kittu and Panchavarnam pumping their breasts against each other kneeling on bed, shots of Panchavarnam lying on top of Kittu and rocking herself in rythym, Shot of Kittu’s hand passes over the breast of Panchavaranam lying on the ground). (6.15 m) || [14] Delete all visuals of Tik 20 poison when Muthamma attempts to consume poison. Delete all visuals in the rape sequence of Muthamma minor after Kitu falls down and hits his head, retaining only one shot of Muthamma and minor spinning suggest Kuttu’s condition and retaining only intercuts of goat eating away a plant. (16.3 m)","","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Maharantham","Tamil","Colour","","Shri K. S. Gopalakrishnan, Madras","83017","","U","","","","","[4] Delete the dialogue of Col. Raghavan to Shankar while making a reference to nurses from Japan ‘Naan kooda randu moonu use panni iruppen’ (0 m) || [10] Delete the dialogue of Col. Raghavan to Shankar and Kalpana 'Honeymoon poravangalukku dress edukku'. Delete all references in the dialogue of Col. Raghavan to Shankar about mirror room. (3.36 m) || [11] Delete the dialogue between Kalpana and Shankar ‘Pagalla paathdhane kannadi palichunnu thelryum. (0 m) || [13] Delete the name of the poison identified on the bottle ‘Dalf (0 m)","","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Lorry Driver Raajakkannu","Tamil","Colour","","Smt. Pushpa Rajan, Madras","4155","","A","","","","","[6] Delete the following lyrics: ‘Mplc koqjam vcippadeuna...’, ‘Sppnd’, ‘Kftiyai potten.’ (0 m) || [6] Delete the dialogues of Periathambi in the scene under the lorry with Rajakannu. ‘Enna indha fitting seriya irukke’ in Rajakannu’s reply ‘Kazhatapad u d h u ’. ‘Edai eduthalum perisu perisa kekkaro’ (8.05 m)","[3] Reduce to the maximum extent possible the shot of the nude pictures on the wall of the hut where the camera lingers before Rajakannu enters. (3.35 m) || [3] In the dance sequence, delete hand gesture of Alankaram pointing towards her thighs, indecent movements backward and forward before Rajakannu, Up and down movement as the dancer lies on the floor, Up and down pelvic jerks while on the bench, Dancer’s hip and buttock movements with her back to the camera. (7.01 m)","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Kadavulln Theerpu","Tamil","B&W","","Senthil Sevarkodiyon Pictures, Madras","83009","","U","","","","","[3] Delete references to punishment meted out by Panchayat to burning alive of lovers. Delete the entire scene of a girl being burnt alive on a pyre and the subsequent comment by Sankarayya. Also delete the same visual in Reel 12 as flash-back. (23.47 m) || [4] Delete the visuals after Kannan gets Into the water and grabs the girl. Subsequent struggle and rape of the girl also to be deleted. (23.16 m) || [8 & 9] Delete all visuals and dialogues referring to 'Lehiyam' and its effects and consequences. (77.72 m) || [8] In the scene of Kanni leading upto fire walking, delete all dialogues suggesting fire walking as proof of the girl's purity and chastity. (25.91 m) || [9] In the scene of fire walking by Kanni, delete all visuals of the empty temple sanctum with the idol missing. (1.22 m) || [12] Delete Veerayya's dialogue to Sankarayya to give false evidence: Sundari’s dialogue telling her husband ’Verna nee dhanya nijom iyer’ (1.52 m)","[6] In the scene where Kannan rapes Radha, delete all shots of the scene after Kannan seizes her hand and embraces her in the open. The final symbolic shots may be retained. (15.24 m) || [13] Delete the lighting the pyre by Veeraya, delete all shots showing Kannion pyre, delete Kanni's dialogue Tdhu enga kudumba prachanai, delete the shot of campharc burning on its own, delete the words of Sankarayyar ‘Ingey mattum dhan mazai pepjiruku’, Reduce the burning of the pyre to a mere suggestion. (15.24 m)","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Mayil","Tamil","Colour","","Priya Chitra, Madras","83010","","U","","","","","[3] In the scene where the Maistry reports to the contractor, delete the Maistry’s dialogue 'Mele aambalinga kishe pombalainga. (4.27 m) || [4] In the scene between the Maistry, and Maistry's lover, delete the dialogue of the girl 'Yaarukkum theriyama unkitte vuzhai-kkiradhu yaarukkn theriyum. (3.35 m)","","","","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Savaal","Tamil","Colour","","Sujatha Cine Arts, Madras","83011","","U","","","","","[1] In the seen© where Burma Papa addresses a group of boys, delete the visuals and the corresponding dialogue about the contraceptive found in a purse. (12.86 m)","","","[4] In the scene where Raja and some people talk in the street, delete the words ‘Periya manishi ahalley’ about a 32 year old woman. (0 m)","in.gazette.1982.383","1982-06-12T00:00:00Z","https://archive.org/details/in.gazette.1982.383"
"Apna Bana Lo","Hindi","Colour","","Amber Films, Triangle","99462","1-2-82","U","","","","","[Reel VITT] prominent exposure of thighs in the dancing sequence (2.03 m)","","","[Reel VITT] approved shots (2.03 m)","in.gazette.1983.379","1983-01-08T00:00:00Z","https://archive.org/details/in.gazette.1983.379"
"Dholi","Gujarati","Colour","","Mehndi Movies","99463","6-2-82","A","","","","","[Reel XV] dialogue by Radha purporting to justify servility of women (7.16 m)","","","","in.gazette.1983.379","1983-01-08T00:00:00Z","https://archive.org/details/in.gazette.1983.379"
"Radha My Darling (Revised)","Telugu","Colour","","Vijaya Kalamandir, Madras","4268","1-2-82","A","","","","","[Reel 3] profile shot of the servant maid on the bank bund showing her breast prominently (3.05 m) || [Reel 3] shot of servant maid running without pallu when her breasts are shown violently tossing (2.13 m) || [Reel 3] dialogue of Bala's husband and Bala (15.54 m) || [Reel 4] hand gesture of the servant against the 'wold Msluat' (1.83 m) || [Reel 5] close-ups of statues where the camera focuses on the breast and 'peni' (7.92 m) || [Reel 5] Jose-shots where camera concentrates in the 'DXC' of Radha bumping her 'is shaping' (1.25 m) || [Reel 5] shots of Gopi hugging Radha in the imagination scene (5.79 m) || [Reel 5] visual of servant maid hugging servant, showing her breasts prominently (1.83 m) || [Reel 5] dialogue of Gopi to servant: 's O* pattu patteyb' (1.25 m) || [Reel 6] entire bathroom scene where Radhn is shown as taking bath and Gopi imagining (24.38 m) || [Reel 6] all shots from the time Radha is shown lying on the beach exposing her legs through wet sari upto their walking together with her legs covered with wet sari (in the sea side imagination scene) (4.57 m) || [Reel 6] shot of Narayana waking his wife by putting his hand on her leg after removing the bed-sheet (0.91 m) || [Reel 7] shot of Radha lying on the cot exposing her thigh (2.74 m) || [Reel 7] shot of Radha coming towards camera with exposed thigh against the words 'Endhura sudharama' (0.63 m) || [Reel 7] the movements of Radha against the words 'AHana padina pallavi' and 'Natana mayurib' (2.74 m) || [Reel 7] the rotating multiple shots of Radha in white dress (0.91 m) || [Reel 7] shot of Radha and Gopi hugging and rolling in the tank (3.72 m) || [Reel 10] shot of Gopi watching nude Radha and following her when her legs below knee and her body above chest are exposed (4.57 m) || [Reel 12] shots of mounting of Radha and Gopi and close-shot of visuals of Radha’s breasts shown prominently in rape sequence (6.55 m) || [Reel 12] visuals of Radha’s hanging, retaining only a flash (5.49 m)","","","[Reel 7] Radha close-up (0.63 m) || [Reel 7] Gopi close-up (2.74 m) || [Reel 7] Radha advance shot (1.98 m)","in.gazette.1983.379","1983-01-08T00:00:00Z","https://archive.org/details/in.gazette.1983.379"
"RaagamThedum Pallavi","Tamil","Colour","","Raja Cine Arts, Madras","4269","2-2-82","A","","","","","[Reel 5] close-up and mid-close of dancers breasts and mid drill jerks, close-up of a dancer with yellow dress with legs widespread, close-up of a dancer sitting with her legs wide apart, close-sliois of dancers (both) coming close with breast jerks and hugging (10.06 m) || [Reel 7] close shot of dancer with breasts prominently shown, breast jerks of dancer in scanty dress, close-up of the posterior jerks, Madan caressing dancer near waist and hugging her waist, Radha palacing his hand between the legs of the dancer and his hand moving up, breast shakes of dancer and back and front movement with hand gesture of dancers (17.68 m) || [Reel 11] dialogue of Madan to the broker 'Appo vasadhi dhan' (9.75 m) || [Reel 14] Close the gap betweet 'Karpoda irukiradhu kadhanayb gaya mudiyadu' and en padathile (0.15 m)","","","[Reel 5] droop offline and audience (25.76 m) || [Reel 7] dancers and group audience (16.77 m)","in.gazette.1983.379","1983-01-08T00:00:00Z","https://archive.org/details/in.gazette.1983.379"
"Illalu Choolalu","Telugu","Colour","","S.V.S. Enterprises, Madras","4271","5-2-88","A","","","","","[Reel 2] portions relating to the poses (figures drawn) of sexual intercourse during pregnancy (36.27 m) || [Reel 2] shot of sexual intercourse by couple in bed (7.32 m)","","","","in.gazette.1983.379","1983-01-08T00:00:00Z","https://archive.org/details/in.gazette.1983.379"
"Sawaal","Hindi","Colour","","Yash Chopra, M/S. Yash Raj Pictures.","100532","30-4-82","U","","","","","[VI & XII] Delete indecent movements and low angle indecent shots of dancers (Helen and Kalpana Iyer’s dance items). (2.37 m)","[XIII & XIV] Reduce the fight sequence and loud noises or firing. Also reduce the view of blood stained hands of Mehta. (16.54 m)","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Ashanti","Hindi","Col.","","Parvesh C. Mehra. Eagle Films.","100533","1-5-1982","U","","","","","[VI] Delete the dialogue 'Yeh mardana Bathroom Hai Zanane Bathroom Mein Leh Jao.' (Sound only) (0.91 m) || [VI] Delete close shots of Tony’s bleeding wound (0.41 m) (retained: 1 m) || [VII] Delete the dialogue of Shankar 'Aur Jagah Dande Ki Liye Mahin Mili Kiya.' (Sound only) (0.21 m) || [VII & X] Delete the shots where Shankar drinks directly from the bottle. (2.37 m) || [VIII] Delete the dialogue 'Ek Chokri Ek Bistar Zaroor Kuchh Hoya Hoga.' (Sound only) (0.61 m) || [VIII] Delete shots of blood on the lips of Amrish Puri after snake bite. (0.61 m) || [X] Delete the dialogue spoken by Shankar: 'WOH MARD HI KIYA JO PEETA NAHIN.' (Sound only) (0.61 m) || [XII] Delete shots of blood after the villain in the car falls into the tank. (0.71 m) || [XIV] Delete shots of Jeevan caressing the thighs of Zeenat. (1.25 m) || [XV] Delete repeated dialogues of Jeevan for asking the girls to take off their clothes. (4.27 m)","[III] Reduce the sequence of the attempted electrocution of a man by Kumar. (4.75 m) (retained: 0.3 m) || [VII] Reduce the torture of Tony, whether the villain puts his foot on his wound. (3.05 m) (retained: 6 m) || [VII] Reduce the sequence of the villains injecting Praveen and her shrieking. (1.83 m) (retained: 6 m) || [VII, XIII, XVI, XVII] Tone down the impact of fights between opposing groups by deleting hard hitting shots and close shots of blocks, and reduce torture of Zeenat, Tony and Kumar. (18.29 m) || [XIV] Reduce the sequence of the murder of the prisoner to a suggestion. (2.13 m) (retained: 1.83 m)","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Galli Te Dilli","Marathi","Col.","","Satish Kulkarni. Shree Tulsi Productions.","4958","1-5-82","U","","","","","[IV] Remove the following dialogue with gestures: 'AMHALA PANALA CHUNA LAVAYALA SANGA AUNTUMBI' suggesting sex act. (2.44 m) || [VI] Delete the following dialogue: 'KI EKDAM BHUTTT HAATH GHALOO .' (3.66 m) || [VII] Delete the following dialogue: 'MUKHYA NASICHA NANTARA SANGATO' (2.13 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Stripes","English","Colour","","Ivan Reitman & Dan Goldberg.","4957","29-4-82","A","","","","","[I] Delete topless views of a girl after she comes out of the bathroom. (0.86 m) || [III A] Delete all frontal views of nude girls taking bath when they are being watched by the Captain through binoculars. (2.16 m) || [III B] Delete topless views of waitresses in the night club. (0.91 m)","[III B] Reduce to a suggestion the wrestling ring scene by deleting all indecorous and topless visuals of girls. (7.92 m)","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"DORIKOKKADU","Telugu","col.","","Hemalaya Movies, Madras.","84215","27-4-82","U","","","","","[7] In the molestation sequence, delete the shot of Nagaraju pulling out the pallu of Rademma, and the shot of his falling on her on the bed. (6.4 m) || [15] Delete the visuals of Rajayya walking towards the camera with Rademma clinging to his torso with her legs interwined. (6.64 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"KadhalOviyam","Tamil","Col.","","Manoj Creations, Madras.","84216","28-4-82","U","","","","","[2] In the scene of the arrival of Singapore man, delete the dialogue commencing from 'Enakkum pangunndu' and ending with the words 'Adhanale sivappaga irrukka' (Visual also deleted). (12.63 m) || [8] Delete the words 'Palai dam thedinathan amukkalaam...to 'Thingalaan' uttered by Narayanan. (Visual also deleted). (12.63 m) || [9] Delete the dialogue of Samiyar 'Kavalaipadaadhe magane...to Avanukkau pillai varam kodduppadaga noam orkanave thcermaanithu vittom. (Visual also deleted). (12.63 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sh-inker Gancsh","Colour","","","Subham Creations, Madras.","84217","30-4-82","U","","","","","[6] Delete the stamping by Sankar of the liquor vendor. (7.1 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Yavanika—3","Malayalam","Col.","","Carolina Films P. Ltd. Bombay.","4314","26-4-82","A","","","","","[1 & 2] Delete all the shots of the girl’s back being massaged. (5.79 m) || [2] In the sequence of hotel manager and calendar, delete the visuals of the manager placing a kiss on the model’s picture and using the word Kannu. (9.75 m) || [5 & 6] Delete shots of Dilip covering his crotch with book, pillow and pulling his T. Shirt down prominently. (20.57 m) || [9] Delete the shots of Dilip hitting the goonda with a bottle in the dark room. (2.47 m)","[9] Reduce the sequence of the murder of the prisoner to a suggestion. (2.47 m) (retained: 1.83 m)","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Bazaar","Hindi","Colour","","Sagar Sarhadi, Sole Proprietor 204, Juhu Princess, Juhu Bmbay-49.","100534","6-3-82","U","","","","","[3] Delete the dialogue of Raju 'Stamina bahar kya dhikanoonga'. (Visials also deleted) (2.13 m) || [8] Delete the dialogue of Raju 'Thum be pyara he ho.... to Garam karlo'. (Visual also deleted) (3.84 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Talaq","Hindi","Colour","","Mewnr Films, 7, Bharat Bldg., Irla, Society Rd., Vile Parle (W) Bombay-56.","100535","6-5-82","U","","","","","[3] Scene showing Kamal Hasan and Birbal in the hotel room. (5.66 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Ganga Maiya Bhar Bhojpuri","Bhojpuri","Colour","","Lalji Ramdeo Gupta, Shrl Vindhya Chitra Mandir.","100536","6-5-82","U","","","","","[VI] Delete the use of the word Nirodh by the comedian. (Sound only) (0 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sanam Teri Kasam","Hindi","Colour","","Miss Barkha Roy, Prop M/s Barkha Movies.","100537","6-5-82","U","","","","","[III] Scene showing Kamal Hasan and Birbal in the hotel room. (5.66 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sumbandh","Hindi","Col.","","M/s Seth Films International, 206- Famous Cine Bldg., Mahalaxmi, Bombay-11.","4960","3-5-82","A","","","","","[VII] In the bedroom sequence of Bhola and his wife, delete the dialogue 'Bibiji Wohi Kar Rahi Hogi Jo Hum Kar Rabo Haim'. (1.46 m) || [VIII] Delete all shots of Asha's cleavage and delete the shot of Asha putting her breasts on Prakash thigh when she tries to reduce him. (9.75 m) || [XI] From the sequence of reduction of Prakash by Asha, delete her throwing her bra on him, her mounting on him, her action showing opening of the belt, suggestion of orgasm and the shots after explosion shot. (23.47 m)","[XI] Reduce the attempted rape of Kiran by Shakti. (10.06 m)","","[IX] From the sequence of cabaret, delete the copulative movements of the dancers. (7.32 m)","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"The Onion Field","English","Colour","","20th Century Fox Corpn. (I) Pvt. Ltd. Metro House, M.G. Rd. Bombay-20.","4961","4-5-82","A","","","","","[N.A.] From the love-making scene in the drawing room, delete the visuals from the point Jimmy puts his hand on the bare thigh of the girl till Greg enters the room. (13.11 m) || [N.A.] Delete the shots of a Negro prisoner cutting his wrist artery and blood pouring out. (0 m) || [N.A.] Delete the shots showing frontal nudity of men in the bathroom retaining unobjectionable portions with dialogues. (0 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Dori Kokkadu","Telugu","col.","","Hemalaya Movies, Madras.","84215","27-4-82","U","","","","","[7] In the molestation sequence, delete the shot of Nagaraju pulling out the pallu of Rademma, and the shot of his falling on her on the bed. (6.4 m) || [15] Delete the visuals of Rajayya walking towards the camera with Rademma clinging to his torso with her legs interwined. (6.64 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"KadhalOviyam","Tamil","Col.","","Manoj Creations, Madras.","84216","28-4-82","U","","","","","[2] In the scene of the arrival of Singapore man, delete the dialogue commencing from 'Enakkum pangunndu' and ending with the words 'Adhanale sivappaga irrukka' (Visual also deleted). (12.63 m) || [8] Delete the words 'Palai dam thedinathan amukkalaam...to 'Thingalaan' uttered by Narayanan. (Visual also deleted). (12.63 m) || [9] Delete the dialogue of Samiyar 'Kavalaipadaadhe magane...to Avanukkau pillai varam kodduppadaga noam orkanave thcermaanithu vittom. (Visual also deleted). (12.63 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sh-inker Gancsh","Colour","","","Subham Creations, Madras.","84217","30-4-82","U","","","","","[6] Delete the stamping by Sankar of the liquor vendor. (7.1 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Yavanika—3","Malayalam","Col.","","Carolina Films P. Ltd. Bombay.","4314","26-4-82","A","","","","","[1 & 2] Delete all the shots of the girl’s back being massaged. (5.79 m) || [2] In the sequence of hotel manager and calendar, delete the visuals of the manager placing a kiss on the model’s picture and using the word Kannu. (9.75 m) || [5 & 6] Delete shots of Dilip covering his crotch with book, pillow and pulling his T. Shirt down prominently. (20.57 m) || [9] Delete the shots of Dilip hitting the goonda with a bottle in the dark room. (2.47 m)","[9] Reduce the sequence of the murder of the prisoner to a suggestion. (2.47 m) (retained: 1.83 m)","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Bazaar","Hindi","Colour","","Sagar Sarhadi, Sole Proprietor 204, Juhu Princess, Juhu Bmbay-49.","100534","6-3-82","U","","","","","[3] Delete the dialogue of Raju 'Stamina bahar kya dhikanoonga'. (Visials also deleted) (2.13 m) || [8] Delete the dialogue of Raju 'Thum be pyara he ho.... to Garam karlo'. (Visual also deleted) (3.84 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Talaq","Hindi","Colour","","Mewnr Films, 7, Bharat Bldg., Irla, Society Rd., Vile Parle (W) Bombay-56.","100535","6-5-82","U","","","","","[3] Scene showing Kamal Hasan and Birbal in the hotel room. (5.66 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Ganga Maiya Bhar Bhojpuri","Bhojpuri","Colour","","Lalji Ramdeo Gupta, Shrl Vindhya Chitra Mandir.","100536","6-5-82","U","","","","","[VI] Delete the use of the word Nirodh by the comedian. (Sound only) (0 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sanam Teri Kasam","Hindi","Colour","","Miss Barkha Roy, Prop M/s Barkha Movies.","100537","6-5-82","U","","","","","[III] Scene showing Kamal Hasan and Birbal in the hotel room. (5.66 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sumbandh","Hindi","Col.","","M/s Seth Films International, 206- Famous Cine Bldg., Mahalaxmi, Bombay-11.","4960","3-5-82","A","","","","","[VII] In the bedroom sequence of Bhola and his wife, delete the dialogue 'Bibiji Wohi Kar Rahi Hogi Jo Hum Kar Rabo Haim'. (1.46 m) || [VIII] Delete all shots of Asha's cleavage and delete the shot of Asha putting her breasts on Prakash thigh when she tries to reduce him. (9.75 m) || [XI] From the sequence of reduction of Prakash by Asha, delete her throwing her bra on him, her mounting on him, her action showing opening of the belt, suggestion of orgasm and the shots after explosion shot. (23.47 m)","[XI] Reduce the attempted rape of Kiran by Shakti. (10.06 m)","","[IX] From the sequence of cabaret, delete the copulative movements of the dancers. (7.32 m)","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"The Onion Field","English","Colour","","20th Century Fox Corpn. (I) Pvt. Ltd. Metro House, M.G. Rd. Bombay-20.","4961","4-5-82","A","","","","","[N.A.] From the love-making scene in the drawing room, delete the visuals from the point Jimmy puts his hand on the bare thigh of the girl till Greg enters the room. (13.11 m) || [N.A.] Delete the shots of a Negro prisoner cutting his wrist artery and blood pouring out. (0 m) || [N.A.] Delete the shots showing frontal nudity of men in the bathroom retaining unobjectionable portions with dialogues. (0 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Saravarshnm","Malayalam","Colour","","Padmashrce Productions, Madras.","4319","3-5-82","A","","","","","[9] Delete the dialogue of Rajasekharun to Savitha ‘Relta injection sag da rogavum marum’. (Visual also deleted) (0.34 m) || [10] Delete the visuals of skull operation of Iyer retaining only the first shot of doctor making a mark on the scalp. (5.79 m) || [10] In the cabaret dance, delete thigh exposure and hip jerks of the dancer near Rajasekaran and his friend, and midriff and breast jerks of the dancer—all low angle shots. (7.32 m) || [13] In the attempted suicide sequence of Savilba, delete visuals of her throwing and trying the sari on the fan and making a loop and inserting her head into it. (2.13 m)","","","[10] Replace deleted visuals with Rajasekharan and his friend talking and long-shot of dance bit. (7.32 m)","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Kezhviyum Naane Bethilum Naane","Tamil","Col.","","S.T. Combines, Madras.","4317","3-5-82","A","","","","","[1] Delete the visuals of Nirmal rubbing the split ice cream from Usha’s breast as he places his hand on her breast. (2.75 m) || [2] Delete the dialogue of Radha’s father ‘Onbadavadu’referring to his servant (Only sound—no replacement). (1.83 m) || [2] Delete the shot of master and eunuchs sorvant dancing in an indecent manner (Replaced servant, heroin’s father on the chair). (4.88 m) || [3] Delete the dialogue of Radha and Nirmal 'aaramba padathai...to vetkama Irukkum’. (Visual also deleted). (7.32 m) || [5] In the scene of Radha talking to Nirmal, over the phone, delete partially visible breast and prominent breast cleavage. (7.62 m) || [4] Delete the dialogue of the driver to Radha’s father ‘Neengathan vachukanum’. (Visual also deleted). (8.23 m) || [5] Delete the dialogue between Nirmal and Radha commencing from 'Honeymoon pasi to konjam porumayirungab' and delete the visual of Radha coming on top of Nirmal on the bed. (7.92 m) || [6] In the song sequence, delete the visual of Radha’s undergarment being visible through wet dress. (0.91 m) || [6] From the row die's dialogue to Nirmal, delete the words 'Sumara irundha kootu serthukkiren, konjam personality irundha pen-datiya ingare. (Visual also deleted). (2.44 m) || [10] In the song sequence delete the intercut shots of Radha and Nirmal on bed. (1.52 m) || [11] In the Imagination song sequence, delete the shot of Nirmal resting on Radha’s breasts. (1.25 m) || [13] In the scene of barrister and his wife, delete the words 'Edhalnina-chlttu indha aatu attarel. (3.66 m) || [13] In the fight delete all stomach punches and kicks, face hits and also visuals of stamping on the back as well as the stomach. (14.94 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"EraVizhi Kaviyangal","Tamil","Col.","","R.V. Cinema, Madras.","4318","5-5-82","A","","","","","[1] Delete the visual of Pralap feeling of the T-Shirt of the girl in the bus. (0.94 m) || [2] Delete the visual of the manager placing a kiss on the model’s picture and using the word Kannu. (1.83 m) || [2] Delete the entire bed scene of Muthu and girl and reference to it. (24.38 m) || [3] Delete hotel manager’s words ‘Stamina bahar kya dhikanoonga’. (Sound replace approved words) (0 m) || [3] Delete Prutap's word & Aurangazeebgal’. (Replaced word’Mundangal’) (0 m) || [4] In the Samiyar sequence, delete all references to pregnancy and Pal lavan Transport and tho Sanyasi with gleeful look punching the sides of the girl (Sound only—replaced approved words). (2.44 m) || [4] In the song sequence, delete Prutap pinching the photograph of Bruce Lee and all visuals of caressing except kisses on the eyelid and the girl kissing him on the cheek. (8.23 m) || [5] Delete the entire brothel sequence after the words ‘Paiyun pu-dusu’. (73.46 m) || [6] Delete Gopal's words ‘Avangal ayumkanakku pannidarom. (Sound replace approved words). (0 m) || [6] Delete all references to the size of the girl's body. (Sound replaced approved words). (0 m) || [6] Delete the hotel manager’s words ‘Ambalaya irundha’. (0.31 m) || [6] Delete the visuals of the licking of icecream. (8.23 m) || [7] Delete the word‘Mayiru’wherever it occurs. (Replaced approved word). (0 m) || [7] In the episode between Radha and the women (Mrs. Ganesan), delete the words of Mrs. Ganesan ‘En husband prabala Govt. Officer’, and the word 'Thevadiya' wherever it occurs. (Sound only- replaced words appd). (0 m) || [9] Delete the hotel manager’s words ‘Satta buttanai’, (Visual also deleted). (1.04 m) || [10] Delete all visuals of police beating Fratap. (32.14 m) || [10] Delete the passionate scenes between Gopal and Radha on bed. (43.04 m) || [10] In the dance sequence, delete the visual of Radha standing on Gopal's feet. (1.1 m) || [14] Delete the visual of Pratap putting on his underwear. (2.08 m)","","","","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
